"ID","Last Name","First Name","Grade Level","Enrollment Year","Graduation Year","Courses as a List","Course Grades as a List","Future Decision","SAT","ACT","Counselor Name"
"100430","Jefferson","Amara","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Technical Theater III"", ""Leadworthy (sem)"", ""Professional Communications (sem)""]","[85, 87, 93, 89, 88, 95, 93]","4 year college","","33","Emily Garcia"
"100431","Taylor","Evelyn","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""Theater Arts I"", ""Drawing I""]","[84, 90, 84, 81, 95, 85]","4 year college","","27","Michael Thompson"
"100432","Farouk","Khalid","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Drawing I"", ""Orchestra I"", ""AP Business with Personal Finance"", ""American Sign Language III""]","[76, 91, 89, 90, 81, 73, 82, 84]","4 year college","1156","26","Sarah Martinez"
"100433","Johnson","Sophia","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Dollars and Sense (sem .5 credit)"", ""Principles of Health Science"", ""Architectural Design I"", ""Floral Design (Fine Art Credit)""]","[90, 69, 90, 74, 84, 72, 85, 83]","4 year college","","17","James Walker"
"100434","Rao","Priya","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Biology"", ""AP US History-11th grade only"", ""Principles of Business, Marketing, & Finance"", ""Choir II""]","[78, 82, 90, 82, 91, 94]","4 year college","1194","26","Priya Patel"
"100435","Green","Jordan","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Orchestra III"", ""Debate III"", ""Dance II""]","[91, 91, 90, 89, 94, 94, 99, 100]","4 year college","","33","Daniel Kim"
"100436","Kumar","Aditya","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Statistics GT"", ""AP Biology GT"", ""AP US History GT-11th grade only"", ""AP Research"", ""Architectural Design I""]","[91, 86, 85, 93, 85, 94]","4 year college","1369","30","Melissa Johnson"
"100437","King","Marcus","11","2024","2028","[""English III"", ""Statistics"", ""Aquatic Science"", ""US History-11th grade"", ""Dollars and Sense (sem .5 credit)"", ""PE Golf (Boys/Girls)""]","[91, 77, 90, 88, 88, 80]","workforce","","","Robert Nguyen"
"100438","Krishnan","Raj","12","2023","2027","[""AP English IV Literature & Composition GT"", ""AP Calculus BC"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""AP Seminar"", ""Audio/Video Production I""]","[97, 97, 87, 93, 94, 89, 97]","4 year college","","","Emily Garcia"
"100439","Kobayashi","Jason","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Chemistry GT"", ""AP US History GT-11th grade only"", ""Choir I"", ""Theater Arts I"", ""Animation I""]","[94, 88, 97, 86, 100, 100, 91]","2 year college","","","Michael Thompson"
"100440","Johnson","Charlotte","12","2023","2027","[""English IV"", ""Accounting II"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Photojournalism (sem)"", ""Health Science Theory"", ""Debate II""]","[62, 82, 62, 74, 82, 71, 72, 67]","workforce","1030","20","Sarah Martinez"
"100441","Tanaka","Brian","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Jazz Band IV"", ""PE Soccer-Boys""]","[73, 91, 89, 82, 72, 79, 81]","4 year college","1048","","James Walker"
"100442","Reed","Morgan","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Medical Terminology"", ""Social Media Marketing (sem)"", ""Journalism""]","[73, 82, 85, 80, 78, 82, 73, 76]","workforce","","21","Priya Patel"
"100443","Nasser","Layla","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Photojournalism (sem)"", ""Debate II"", ""Theater Arts II""]","[79, 57, 59, 57, 71, 72, 63]","4 year college","910","15","Daniel Kim"
"100444","Davis","Emma","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""Small Animal Management (sem .5 credit)"", ""Agricultural Mechanics and Metal Technologies"", ""Professional Communications (sem)""]","[59, 70, 59, 75, 67, 67, 62]","4 year college","1035","","Melissa Johnson"
"100445","Brown","Zoe","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Band IV"", ""Chinese III KAP""]","[77, 81, 73, 82, 83, 88]","2 year college","986","19","Robert Nguyen"
"100446","Ali","Nadia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Human Growth & Development"", ""Debate III""]","[81, 92, 79, 88, 80, 82, 89]","4 year college","947","","Emily Garcia"
"100447","Thompson","Isaiah","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Health Science Theory""]","[57, 63, 78, 70, 76, 80]","workforce","829","","Michael Thompson"
"100448","Menon","Pooja","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Agricultural Mechanics and Metal Technologies"", ""PE Tennis"", ""PE Soccer-Boys"", ""Art I""]","[61, 77, 69, 73, 57, 77, 65, 57]","workforce","889","17","Sarah Martinez"
"100449","Shah","Raj","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""Architectural Design I"", ""Debate III"", ""Audio/Video Production II"", ""Sports & Entertainment Marketing II (sem)""]","[88, 87, 87, 78, 90, 84, 89, 91]","4 year college","1302","","James Walker"
"100450","Krishnan","Pooja","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Computer Science I (LOTE credit)"", ""Debate II""]","[82, 82, 82, 91, 96, 87, 90]","4 year college","1241","","Priya Patel"
"100451","Hernandez","Adriana","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Orchestra IV"", ""Lifetime Nutrition & Wellness (sem .5 credit)"", ""PE Track-Boys""]","[73, 89, 79, 73, 80, 80, 72, 83]","4 year college","942","17","Daniel Kim"
"100452","Williams","Jordan","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""AP Computer Science Principles (LOTE credit)"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP"", ""Band II"", ""Oral Interpretation III""]","[86, 86, 91, 82, 79, 86, 85, 88]","2 year college","1361","30","Melissa Johnson"
"100453","Lee","Wei","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Biology"", ""AP US History-11th grade only"", ""Sports & Entertainment Marketing I (sem)"", ""Principles of Business, Marketing, & Finance"", ""Foundations of Business Communication and Technologies"", ""Social Media Marketing (sem)""]","[91, 90, 84, 84, 89, 93, 89, 96]","4 year college","1159","25","Robert Nguyen"
"100454","Park","Jason","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""PE Soccer-Boys"", ""Business Law for Real Estate"", ""Entrepreneurship""]","[85, 90, 76, 91, 80, 81, 82]","workforce","961","20","Emily Garcia"
"100455","Davis","Isaiah","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Advanced Animal Science (Science credit)""]","[80, 73, 78, 71, 79, 59]","2 year college","","","Michael Thompson"
"100456","Ali","Zara","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Fashion Design I""]","[63, 78, 65, 59, 66, 82]","workforce","951","13","Sarah Martinez"
"100457","Jackson","Sophia","12","2023","2027","[""English IV"", ""Accounting II"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Small Animal Management (sem .5 credit)"", ""Floral Design (Fine Art Credit)""]","[58, 60, 56, 74, 74, 67, 77]","4 year college","897","","James Walker"
"100458","Rahman","Youssef","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP"", ""AP Environmental Science GT"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""AP Research"", ""Peer Assistance Leadership II (application required)""]","[91, 90, 96, 86, 87, 84, 92]","4 year college","","","Priya Patel"
"100459","Torres","Adriana","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Professional Communications (sem)"", ""French I"", ""Sports & Entertainment Marketing II (sem)""]","[87, 75, 88, 97, 90, 91, 95, 96]","4 year college","1332","","Daniel Kim"
"100460","Farouk","Sara","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Medical Terminology"", ""Photojournalism (sem)""]","[79, 74, 82, 77, 88, 82, 80]","2 year college","1182","19","Melissa Johnson"
"100461","Verma","Ananya","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Principles of Health Science"", ""AP Spanish IV Language and Culture"", ""Sports & Entertainment Marketing I (sem)""]","[79, 78, 80, 87, 76, 87, 70, 81]","workforce","","17","Robert Nguyen"
"100462","Torres","Riley","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Human Growth & Development"", ""Sports & Entertainment Marketing I (sem)"", ""Anatomy & Physiology""]","[92, 83, 87, 88, 77, 81, 79]","4 year college","1262","31","Emily Garcia"
"100463","Moore","Isaiah","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Painting I"", ""AP Spanish V Literature and Culture""]","[90, 97, 87, 97, 100, 95, 93]","4 year college","1400","","Michael Thompson"
"100464","Martinez","Alejandro","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP"", ""French III KAP"", ""Architectural Design I""]","[84, 79, 90, 87, 87, 90, 82]","4 year college","1110","19","Sarah Martinez"
"100465","Iyer","Arjun","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Debate I""]","[96, 90, 88, 91, 96, 99]","4 year college","","","James Walker"
"100466","Brooks","Drew","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Choir III"", ""Anatomy & Physiology"", ""Theater Arts II""]","[75, 84, 92, 84, 76, 80, 74]","4 year college","","22","Priya Patel"
"100467","Karimi","Ramy","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP/GT"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Peer Assistance Leadership II (application required)"", ""Journalism""]","[88, 92, 85, 91, 90, 94, 89]","4 year college","","31","Daniel Kim"
"100468","Qureshi","Ramy","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Chinese III KAP"", ""Band II"", ""Interior Design I""]","[84, 86, 96, 94, 93, 89, 89, 96]","4 year college","","34","Melissa Johnson"
"100469","Martin","Ava","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Counseling & Mental Health"", ""Spanish II""]","[82, 90, 91, 85, 72, 80, 78]","workforce","1170","23","Robert Nguyen"
"100470","Reyes","Diego","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Spanish I"", ""Spanish III KAP"", ""French I""]","[86, 75, 73, 85, 87, 69, 87]","4 year college","","22","Emily Garcia"
"100471","Verma","Sanjana","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Oral Interpretation III"", ""Business Law for Real Estate"", ""American Sign Language I""]","[88, 78, 91, 83, 88, 91, 80, 87]","4 year college","1089","20","Michael Thompson"
"100472","Ahmed","Karim","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Choir I"", ""Chinese III KAP"", ""Photojournalism (sem)""]","[76, 86, 85, 84, 82, 84, 91]","4 year college","1318","29","Sarah Martinez"
"100473","Reed","Hayden","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Professional Communications (sem)""]","[80, 90, 75, 76, 88, 90]","2 year college","1116","","James Walker"
"100474","Thompson","Tre","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""AP Spanish V Literature and Culture"", ""Choir III""]","[78, 74, 91, 76, 76, 70, 72]","vocational school","946","","Priya Patel"
"100475","Huang","Daniel","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Dollars and Sense (sem .5 credit)"", ""Oral Interpretation II"", ""Financial Mathematics (Math credit)""]","[88, 74, 91, 78, 77, 92, 80]","2 year college","1143","25","Daniel Kim"
"100476","Iyer","Sanjana","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Track-Girls"", ""Interpersonal Studies (sem .5 credit)""]","[78, 91, 89, 78, 84, 83, 77]","4 year college","925","","Melissa Johnson"
"100477","Gutierrez","Sofia","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""AP Seminar"", ""Peer Assistance Leadership II (application required)"", ""Computer Science I (LOTE credit)"", ""Peer Assistance Leadership I (application required)""]","[98, 97, 92, 90, 93, 95, 99, 98]","4 year college","1333","","Robert Nguyen"
"100478","Khalil","Yasmin","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP/GT"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""AP Seminar"", ""French III KAP""]","[91, 88, 97, 92, 96, 92, 94]","4 year college","","35","Emily Garcia"
"100479","Mehta","Riya","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""American Sign Language I"", ""Debate III"", ""Photojournalism (sem)"", ""Debate II""]","[77, 83, 82, 82, 92, 82, 87, 82]","4 year college","","","Michael Thompson"
"100480","Abdullah","Rania","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""American Sign Language I"", ""Art I"", ""Human Growth & Development""]","[77, 80, 76, 90, 82, 85, 79, 78]","workforce","","","Sarah Martinez"
"100481","Nair","Aditya","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Band III"", ""Sports & Entertainment Marketing I (sem)"", ""Choir II""]","[90, 88, 84, 89, 88, 90, 88, 96]","4 year college","","30","James Walker"
"100482","Hernandez","Mateo","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""American Sign Language III"", ""AP Spanish V Literature and Culture"", ""Animation I"", ""Oral Interpretation III""]","[83, 89, 80, 87, 96, 90, 94, 97]","4 year college","1229","30","Priya Patel"
"100483","Lee","Yuki","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Interpersonal Studies (sem .5 credit)"", ""Journalism""]","[61, 72, 61, 65, 75, 78, 72]","4 year college","","14","Daniel Kim"
"100484","Singh","Ananya","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Health Education (sem)"", ""Health Science Theory""]","[78, 77, 81, 81, 74, 77]","4 year college","","","Melissa Johnson"
"100485","Ortiz","Elena","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""AP Chinese IV Language and Culture"", ""Sports & Entertainment Marketing I (sem)""]","[81, 94, 93, 79, 81, 80, 92]","4 year college","1445","33","Robert Nguyen"
"100486","Walker","Jasmine","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Oral Interpretation III"", ""Debate III""]","[72, 91, 91, 84, 74, 92]","4 year college","","16","Emily Garcia"
"100487","Huang","Mina","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Computer Science I (LOTE credit)"", ""Debate I"", ""Orchestra III""]","[86, 78, 79, 79, 82, 87, 92]","4 year college","","32","Michael Thompson"
"100488","Yamamoto","David","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Principles of Applied Engineering"", ""Debate II"", ""Debate III""]","[92, 87, 87, 93, 86, 92, 90, 88]","4 year college","1414","33","Sarah Martinez"
"100489","Lee","Yuki","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Track-Boys"", ""Human Growth & Development""]","[72, 89, 80, 77, 81, 83, 85]","2 year college","","","James Walker"
"100490","Walker","Amara","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""AP Spanish IV Language and Culture""]","[92, 87, 85, 80, 83, 83]","4 year college","1188","18","Priya Patel"
"100491","Gupta","Ananya","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Human Growth & Development"", ""PE Tennis"", ""Orchestra IV""]","[80, 92, 74, 85, 75, 78, 90, 80]","2 year college","1235","28","Daniel Kim"
"100492","Robinson","Noah","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Foundations of Business Communication and Technologies"", ""Sports & Entertainment Marketing I (sem)"", ""American Sign Language I""]","[80, 72, 85, 78, 72, 85, 76]","4 year college","","26","Melissa Johnson"
"100493","Garcia","Natalia","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""Financial Mathematics (Math credit)"", ""Sports & Entertainment Marketing I (sem)"", ""Principles of Applied Engineering"", ""American Sign Language II""]","[87, 86, 79, 94, 87, 94, 90, 94]","4 year college","","23","Robert Nguyen"
"100494","Jackson","Jaylen","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Dollars and Sense (sem .5 credit)"", ""Principles of Agriculture, Food, and Natural Resources"", ""Business Law for Real Estate""]","[87, 79, 86, 81, 81, 68, 77, 85]","2 year college","990","","Emily Garcia"
"100495","Choi","Hiro","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Principles of Applied Engineering""]","[90, 82, 85, 92, 92, 94]","4 year college","","29","Michael Thompson"
"100496","Chen","Soo-Jin","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Chinese I"", ""Debate I"", ""Audio/Video Production II"", ""Band II""]","[94, 82, 83, 83, 97, 91, 90, 97]","4 year college","1326","25","Sarah Martinez"
"100497","Cooper","Hayden","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""Dance II"", ""Technical Theater I""]","[82, 84, 79, 89, 89, 96]","4 year college","1190","26","James Walker"
"100498","Murphy","Kennedy","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Health Education (sem)"", ""PE Baseball-Boys"", ""Debate II""]","[68, 58, 81, 69, 64, 78, 73, 59]","vocational school","955","20","Priya Patel"
"100499","Lee","Daniel","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Social Media Marketing (sem)"", ""Interior Design I"", ""Spanish III KAP"", ""Theater Arts I""]","[83, 87, 90, 82, 88, 90, 80, 84]","4 year college","1351","29","Daniel Kim"
"100500","Aziz","Ali","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Orchestra I"", ""American Sign Language I"", ""Choir III""]","[83, 90, 83, 81, 81, 77, 90, 92]","2 year college","1145","20","Melissa Johnson"
"100501","Ibrahim","Yasmin","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Oral Interpretation II"", ""Band I""]","[64, 67, 79, 72, 79, 72]","vocational school","958","17","Robert Nguyen"
"100502","Carter","Andre","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""Dance II"", ""Computer Science I (LOTE credit)"", ""American Sign Language II""]","[85, 85, 82, 82, 93, 97, 96]","4 year college","1426","36","Emily Garcia"
"100503","Coleman","Drew","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""French III KAP"", ""Sports & Entertainment Marketing II (sem)"", ""Principles of Business, Marketing, & Finance"", ""Chinese III KAP""]","[86, 90, 84, 82, 87, 90, 90, 81]","4 year college","1132","20","Michael Thompson"
"100504","Wilson","Charlotte","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Technical Theater I"", ""Medical Terminology"", ""AP Chinese IV Language and Culture""]","[75, 86, 74, 87, 78, 75, 89, 87]","vocational school","1073","24","Sarah Martinez"
"100505","Davis","Oliver","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""Debate II"", ""Health Science Theory"", ""Debate III"", ""PE Diving""]","[81, 92, 81, 80, 89, 79, 82, 80]","4 year college","1177","","James Walker"
"100506","Rivera","Morgan","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Baseball-Boys""]","[77, 65, 59, 70, 66, 76]","workforce","1010","","Priya Patel"
"100507","Coleman","Avery","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Orchestra II"", ""Professional Communications (sem)"", ""Ceramics I"", ""Orchestra III""]","[82, 91, 87, 83, 91, 93, 86, 91]","4 year college","1281","30","Daniel Kim"
"100508","Tanaka","Wei","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP/GT"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Dance I"", ""AP Seminar""]","[96, 87, 87, 83, 88, 93, 88]","4 year college","1390","32","Melissa Johnson"
"100509","Wilson","Sophia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Dollars and Sense (sem .5 credit)"", ""French III KAP"", ""Sports & Entertainment Marketing I (sem)""]","[73, 75, 73, 92, 82, 80, 84, 86]","4 year college","976","13","Robert Nguyen"
"100510","Bennett","Alex","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""AP Art History"", ""American Sign Language II"", ""Sports & Entertainment Marketing II (sem)""]","[80, 89, 88, 81, 72, 75, 82, 83]","4 year college","1148","21","Emily Garcia"
"100511","Suzuki","Ying","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Chinese II"", ""Audio/Video Production II""]","[97, 75, 93, 95, 92, 97]","4 year college","","","Michael Thompson"
"100512","Williams","Logan","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Dance I"", ""Entrepreneurship"", ""Painting I""]","[80, 86, 86, 76, 92, 82, 74, 77]","vocational school","1093","24","Sarah Martinez"
"100513","Li","Wei","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Small Animal Management (sem .5 credit)"", ""Anatomy & Physiology""]","[74, 77, 80, 66, 73, 70, 76]","workforce","997","17","James Walker"
"100514","Ibrahim","Youssef","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Journalism""]","[98, 91, 84, 90, 98, 91]","vocational school","","","Priya Patel"
"100515","Rivera","Gabriela","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Small Animal Management (sem .5 credit)""]","[68, 57, 70, 70, 68, 62]","workforce","","","Daniel Kim"
"100516","Clark","Mia","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Digital Arts and Animation (Fine Arts Credit)""]","[91, 83, 82, 85, 78, 78]","4 year college","1179","","Melissa Johnson"
"100517","Smith","Oliver","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Medical Terminology"", ""Advanced Animal Science (Science credit)""]","[63, 78, 58, 76, 76, 81, 68]","workforce","804","16","Robert Nguyen"
"100518","Gupta","Ananya","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Orchestra I"", ""Interior Design I"", ""Spanish II""]","[84, 87, 81, 85, 84, 93, 85, 87]","4 year college","","","Emily Garcia"
"100519","Krishnan","Pooja","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Health Science Theory"", ""Lifetime Fitness & Wellness Pursuits (Boys)""]","[89, 84, 91, 88, 77, 77]","4 year college","","","Michael Thompson"
"100520","Choi","Mina","12","2023","2027","[""English IV"", ""Statistics"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Spanish I"", ""Debate II""]","[87, 80, 76, 82, 89, 83, 91]","4 year college","969","15","Sarah Martinez"
